instruction,output
which kubernetes metric tracks the Percent of time the CPU spent in an idle state,system_cpu_idle
"In the last hour, show me the time percentage for which the cpu was in idle state in the target kubernetes cluster and orgid org_id.","(system_cpu_idle{kube_cluster_name=""target"", org_id=""orgId""}[1h]"
How much percent of time the CPU was in the idle state in the past 45 minutes in the target kubernetes cluster and orgid org_id?,"(system_cpu_idle{kube_cluster_name=""target"", org_id=""orgId""}[45m]"
"show me the time percentage for which the cpu was in idle state in the target kubernetes cluster, n2-highmem-16 instance_type and region us-west1-a","(system_cpu_idle{kube_cluster_name=""target"", instance_type=""n2-highmem-16"", region=""us-west1-a""}"
Show me the average CPU idle state percentage over a 5 minute window in kubernetes cluster target and org_id orgid,"avg_over_time(system_cpu_idle{kube_cluster_name=""target"", org_id=""orgId""}[5m])"
Tell me the sum of CPU idle state percentage over the last 24 hours in the target kubernetes cluster and orgid org_id,"sum_over_time(system_cpu_idle{kube_cluster_name=""target"", org_id=""orgId""}[24h])"
Can you show me the minimum percentage CPU idle state over a 1-hour window in the target kubernetes cluster and orgid org_id,"min_over_time(system_cpu_idle{kube_cluster_name=""target"", org_id=""orgId""}[1h])"
Show me the rate of change in CPU idle state percentage over the last 5 minutes for target cluster and orgid organization,"rate(system_cpu_idle{kube_cluster_name=""target"", org_id=""orgId""}[5m])"
Show me the difference in percentage of CPU idle state between 1 hour ago and now,"delta(system_cpu_idle{kube_cluster_name=""target"", org_id=""orgId""}[1h])"
Sum of CPU percentage in idle state across all hosts:,"sum(system_cpu_idle{kube_cluster_name=""target"", org_id=""orgId""})"
show the average percentage CPU idle state across all hosts.,"avg(system_cpu_idle{kube_cluster_name=""target"", org_id=""orgId""})"
show the maximum CPU idle state percent across all hosts:,"max(system_cpu_idle{kube_cluster_name=""target"", org_id=""orgId""})"
Show the minimum percentage of CPU idle state across all hosts:,"min(system_cpu_idle{kube_cluster_name=""target"", org_id=""orgId""})"
Show the standard deviation of CPU idle percent across all hosts:,"stddev(system_cpu_idle{kube_cluster_name=""target"", org_id=""orgId""})"
Show the count of hosts where CPU idle state percentage is below a threshold of 20%,"count(system_cpu_idle{kube_cluster_name=""target"", org_id=""orgId""} < 20)"
"Calculate the average CPU idle state percentage over a 5-minute window, aggregated by host:","avg by (host) (avg_over_time(system_cpu_idle{kube_cluster_name=""target"", org_id=""orgId""}[5m]))"
"Find the maximum CPU idle state percentage over a 15-minute window, aggregated by instance_type","max by (instance_type) (max_over_time(system_cpu_idle{kube_cluster_name=""target"", org_id=""orgId""}[15m]))"
"Sum the CPU idle state percentage over the last hour, aggregated by host for the last hour.","sum by (host) (sum_over_time(system_cpu_idle{kube_cluster_name=""target"", org_id=""orgId""}[1h]))"
"Calculate the average CPU idle percentage over a 10-minute window, aggregated by host and instance_type","avg by (host, instance_type) (avg_over_time(system_cpu_idle{kube_cluster_name=""target"", org_id=""orgId""}[10m]))"
"Find the minimum CPU idle percentage over the last 24 hours, aggregated by cluster_name dev and region us-west1:","min by (dev, us-west1) (min_over_time(system_cpu_idle{kube_cluster_name=""target"", org_id=""orgId""}[24h]))"
"In the last hour, show me the amount of memory in use for the cluster target and oraganization id orgid","(system_mem_used{kube_cluster_name=""target"", org_id=""orgId""}[1h]"
How much amount of memory was in use for the cluster target and oraganization id orgid in the past 45 minutes,"(system_mem_used{kube_cluster_name=""target"", org_id=""orgId""}[45m]"
"show me the amount of ram usage in the target kubernetes cluster, n2-highmem-16 instance_type and region us-west1-a","(system_mem_used{kube_cluster_name=""target"", instance_type=""n2-highmem-16"", region=""us-west1-a""})"
